Outcome,Keyword,Coef,p
Information sharing,E_PM Office,-0.019839447906759317,0.7148851227342304
Information sharing,E_Supt. Yoshida,-0.07021331551425646,0.2000347196052036
Information sharing,E_TEPCO HQ,0.018590491129179453,0.7354607513357339
Information sharing,I_Unit 1,0.09072967586265815,0.09547715289690933
Information sharing,I_Unit 2,0.06265748299531756,0.2442284086016278
Information sharing,I_Unit 3,0.07769783425562897,0.09375420102719237
Information sharing,I_Unit 4,0.21518649571551604,0.10061525419513806
Information sharing,O_Drywell,0.07303741208541183,0.25400046679132077
Information sharing,O_Fuel,0.023217951980534175,0.673948611899992
Information sharing,O_Pressure,0.03980931280364725,0.4331112952859706
Information sharing,O_Pump,0.08847562192309104,0.14705819329424047
Information sharing,O_Reactor core,0.00707103297412341,0.9308184959457073
Information sharing,O_Suppression chamber,0.06296495791506902,0.5956539118905255
Information sharing,O_Venting,0.12626580487639574,0.013117395709686449
Information sharing,O_Water injection,0.13268564697922886,0.09562123903560396
Listening,E_PM Office,-0.023722878299372904,0.7694912540558781
Listening,E_Supt. Yoshida,0.0930115881113947,0.2550018425499457
Listening,E_TEPCO HQ,0.11996844554657736,0.14221935797872357
Listening,I_Unit 1,-0.04470490973095229,0.5830222567670058
Listening,I_Unit 2,-0.024027704841581995,0.7649414048162075
Listening,I_Unit 3,0.07529276365972301,0.27712913284728435
Listening,I_Unit 4,-0.08508753927841989,0.6644013265958922
Listening,O_Drywell,0.09359416534805123,0.32699903973038547
Listening,O_Fuel,-0.07123295141862553,0.38603866704690926
Listening,O_Pressure,-0.03716457764471216,0.6236475865587814
Listening,O_Pump,-0.18558412710784952,0.040624347454175154
Listening,O_Reactor core,-0.032069027983708476,0.7916364147221224
Listening,O_Suppression chamber,0.10456561677606058,0.5543056644219502
Listening,O_Venting,0.0722216127300354,0.34515453244533334
Listening,O_Water injection,-0.07474186026988705,0.5303789889305972
Confirmation,E_PM Office,-0.19331795890776188,0.004854839255680874
Confirmation,E_Supt. Yoshida,-0.09976478612178603,0.15447039925123585
Confirmation,E_TEPCO HQ,-0.021934973585190986,0.7553737353523335
Confirmation,I_Unit 1,-0.037325993236002726,0.5933869395322838
Confirmation,I_Unit 2,0.053421014238832776,0.43832993917311724
Confirmation,I_Unit 3,-0.10573802029136246,0.07449349877329046
Confirmation,I_Unit 4,-0.20598014288467187,0.22019961025522997
Confirmation,O_Drywell,-0.012646233639100366,0.8775705838448007
Confirmation,O_Fuel,0.15818944417858252,0.023951469998628096
Confirmation,O_Pressure,0.0033743105727452828,0.9586255900375724
Confirmation,O_Pump,0.10531249831303918,0.17756056821912486
Confirmation,O_Reactor core,-0.07892293997832214,0.4484546851286011
Confirmation,O_Suppression chamber,-0.06972771737535378,0.6460662956861122
Confirmation,O_Venting,-0.08689413862342503,0.185193139212464
Confirmation,O_Water injection,0.24580798130284828,0.01532139596321558
Speaking up,E_PM Office,-0.09955793641250071,0.20994722747774958
Speaking up,E_Supt. Yoshida,0.07457843956763592,0.35361107782697176
Speaking up,E_TEPCO HQ,0.05648693955415036,0.4833474076713068
Speaking up,I_Unit 1,0.029249648981277077,0.7149564200526709
Speaking up,I_Unit 2,-0.010306641851789814,0.8962301857565238
Speaking up,I_Unit 3,-0.004186162408407474,0.9510894590552477
Speaking up,I_Unit 4,0.12171207995134142,0.5277983538123465
Speaking up,O_Drywell,-0.039542928615878145,0.6740103763664593
Speaking up,O_Fuel,0.03358982862008215,0.6778985990268236
Speaking up,O_Pressure,-0.08361833474293956,0.2607342551644944
Speaking up,O_Pump,-0.17353628268108007,0.05167831805183959
Speaking up,O_Reactor core,-0.17917467627424738,0.13195276543797083
Speaking up,O_Suppression chamber,-0.2623632655343613,0.13012700876958574
Speaking up,O_Venting,0.09427311410202302,0.2096149152019778
Speaking up,O_Water injection,-0.10339556407700709,0.3770773811741742
weak COMM score,E_PM Office,-0.03733063645902964,0.22252401957608367
weak COMM score,E_Supt. Yoshida,-0.021087462289800737,0.4963383242432139
weak COMM score,E_TEPCO HQ,-0.0019692454060734133,0.9494740579189915
weak COMM score,I_Unit 1,0.031027218573980445,0.3140300233747861
weak COMM score,I_Unit 2,0.0034126208385925443,0.9107649468321013
weak COMM score,I_Unit 3,0.013003086571137381,0.6208404701142765
weak COMM score,I_Unit 4,-0.003839339961145341,0.9588038888439195
weak COMM score,O_Drywell,0.012478017229626132,0.730503800021955
weak COMM score,O_Fuel,-0.031184600710805966,0.3163337558680869
weak COMM score,O_Pressure,-0.028287541283258808,0.32367426933174714
weak COMM score,O_Pump,-0.058702331398575044,0.0880387892135346
weak COMM score,O_Reactor core,-0.0916018112201726,0.045040484745178716
weak COMM score,O_Suppression chamber,-0.09178589962085426,0.16964384321513787
weak COMM score,O_Venting,-0.025187367030823617,0.38495667823805546
weak COMM score,O_Water injection,0.006814386989786219,0.8800562522686961
